"service_id","date","exception_type"
"GO201_168","20160729","1"
"GO201_168","20160801","1"
"GO201_168","20160802","1"
"GO201_168","20160803","1"
"GO201_168","20160804","1"
"GO201_168","20160805","1"
"GO201_168","20160808","1"
"GO201_168","20160809","1"
"GO201_168","20160810","1"
"GO201_168","20160811","1"
"GO201_168","20160812","1"
"GO201_168","20160815","1"
"GO201_168","20160816","1"
"GO201_168","20160817","1"
"GO201_168","20160818","1"
"GO201_168","20160819","1"
"GO201_168","20160822","1"
"GO201_168","20160823","1"
"GO201_168","20160824","1"
"GO201_168","20160825","1"
"GO201_168","20160826","1"
"GO201_168","20160829","1"
"GO201_168","20160830","1"
"GO201_168","20160831","1"
"GO201_168","20160901","1"
"GO201_168","20160902","1"
"GO201_169","20160527","1"
"GO201_169","20160603","1"
"GO201_169","20160610","1"
"GO201_169","20160617","1"
"GO201_169","20160624","1"
"GO201_169","20160630","1"
"GO201_169","20160701","1"
"GO201_169","20160708","1"
"GO201_169","20160715","1"
"GO201_169","20160722","1"
"GO201_169","20160729","1"
"GO201_169","20160805","1"
"GO201_169","20160812","1"
"GO201_169","20160819","1"
"GO201_169","20160826","1"
"GO201_169","20160902","1"
"GO201_1610","20160523","1"
"GO201_1610","20160524","1"
"GO201_1610","20160525","1"
"GO201_1610","20160526","1"
"GO201_1610","20160531","1"
"GO201_1610","20160601","1"
"GO201_1610","20160602","1"
"GO201_1610","20160606","1"
"GO201_1610","20160607","1"
"GO201_1610","20160608","1"
"GO201_1610","20160609","1"
"GO201_1610","20160613","1"
"GO201_1610","20160614","1"
"GO201_1610","20160615","1"
"GO201_1610","20160616","1"
"GO201_1610","20160620","1"
"GO201_1610","20160621","1"
"GO201_1610","20160622","1"
"GO201_1610","20160623","1"
"GO201_1610","20160627","1"
"GO201_1610","20160628","1"
"GO201_1610","20160629","1"
"GO201_1610","20160630","1"
"GO201_1610","20160705","1"
"GO201_1610","20160706","1"
"GO201_1610","20160707","1"
"GO201_1610","20160711","1"
"GO201_1610","20160712","1"
"GO201_1610","20160713","1"
"GO201_1610","20160714","1"
"GO201_1610","20160718","1"
"GO201_1610","20160719","1"
"GO201_1610","20160720","1"
"GO201_1610","20160721","1"
"GO201_1610","20160725","1"
"GO201_1610","20160726","1"
"GO201_1610","20160727","1"
"GO201_1610","20160728","1"
"GO201_1610","20160801","1"
"GO201_1610","20160802","1"
"GO201_1610","20160803","1"
"GO201_1610","20160804","1"
"GO201_1610","20160808","1"
"GO201_1610","20160809","1"
"GO201_1610","20160810","1"
"GO201_1610","20160811","1"
"GO201_1610","20160815","1"
"GO201_1610","20160816","1"
"GO201_1610","20160817","1"
"GO201_1610","20160818","1"
"GO201_1610","20160822","1"
"GO201_1610","20160823","1"
"GO201_1610","20160824","1"
"GO201_1610","20160825","1"
"GO201_1610","20160829","1"
"GO201_1610","20160830","1"
"GO201_1610","20160831","1"
"GO201_1610","20160901","1"
"GO201_1611","20160527","1"
"GO201_1611","20160603","1"
"GO201_1611","20160610","1"
"GO201_1611","20160617","1"
"GO201_1611","20160624","1"
"GO201_1611","20160701","1"
"GO201_1611","20160708","1"
"GO201_1611","20160715","1"
"GO201_1611","20160722","1"
"GO201_1611","20160729","1"
"GO201_1611","20160805","1"
"GO201_1611","20160812","1"
"GO201_1611","20160819","1"
"GO201_1611","20160826","1"
"GO201_1611","20160902","1"
"GO201_1612","20160527","1"
"GO201_1612","20160603","1"
"GO201_1612","20160610","1"
"GO201_1612","20160617","1"
"GO201_1612","20160624","1"
"GO201_1612","20160701","1"
"GO201_1612","20160708","1"
"GO201_1612","20160715","1"
"GO201_1612","20160722","1"
"GO201_1612","20160729","1"
"GO201_1612","20160805","1"
"GO201_1612","20160812","1"
"GO201_1612","20160819","1"
"GO201_1612","20160826","1"
"GO201_1612","20160902","1"
"GO201_1613","20160526","1"
"GO201_1613","20160527","1"
"GO201_1613","20160602","1"
"GO201_1613","20160603","1"
"GO201_1613","20160609","1"
"GO201_1613","20160610","1"
"GO201_1613","20160616","1"
"GO201_1613","20160617","1"
"GO201_1613","20160623","1"
"GO201_1613","20160624","1"
"GO201_1613","20160630","1"
"GO201_1613","20160701","1"
"GO201_1613","20160707","1"
"GO201_1613","20160708","1"
"GO201_1613","20160714","1"
"GO201_1613","20160715","1"
"GO201_1613","20160721","1"
"GO201_1613","20160722","1"
"GO201_1613","20160728","1"
"GO201_1613","20160729","1"
"GO201_1613","20160804","1"
"GO201_1613","20160805","1"
"GO201_1613","20160811","1"
"GO201_1613","20160812","1"
"GO201_1613","20160818","1"
"GO201_1613","20160819","1"
"GO201_1613","20160825","1"
"GO201_1613","20160826","1"
